"";"estado";"municipio";"trimestre";"canasta_m"
"1";"BAJA CALIFORNIA SUR";"LA PAZ";2014,2;28,4746766131847
"2";"BAJA CALIFORNIA SUR";"LA PAZ";2014,3;28,3860848009297
"3";"BAJA CALIFORNIA SUR";"LA PAZ";2014,4;29,2660318277535
"4";"BAJA CALIFORNIA SUR";"LA PAZ";2015,1;29,5240186295885
"5";"BAJA CALIFORNIA SUR";"LA PAZ";2015,2;29,4600687679496
"6";"BAJA CALIFORNIA SUR";"LA PAZ";2015,3;29,2616340096825
"7";"BAJA CALIFORNIA SUR";"LA PAZ";2015,4;30,0538322113963
"8";"BAJA CALIFORNIA SUR";"LA PAZ";2016,1;31,2030511492509
"9";"BAJA CALIFORNIA SUR";"LA PAZ";2016,2;31,0577793053087
"10";"TLAXCALA";"CHIAUTEMPAN";2011,1;22,3773770239449
"11";"TLAXCALA";"CHIAUTEMPAN";2011,2;23,0159948927561
"12";"TLAXCALA";"CHIAUTEMPAN";2011,3;22,9357681307628
"13";"TLAXCALA";"CHIAUTEMPAN";2011,4;22,9272001466128
"14";"TLAXCALA";"CHIAUTEMPAN";2012,1;23,5924514293534
"15";"TLAXCALA";"CHIAUTEMPAN";2012,2;25,1346996750289
"16";"TLAXCALA";"CHIAUTEMPAN";2012,3;25,2395548754766
"17";"TLAXCALA";"CHIAUTEMPAN";2012,4;24,5143726794879
"18";"TLAXCALA";"CHIAUTEMPAN";2013,1;24,7053331402919
"19";"TLAXCALA";"CHIAUTEMPAN";2013,2;24,5600282490321
"20";"TLAXCALA";"CHIAUTEMPAN";2013,3;25,1773806022565
"21";"TLAXCALA";"CHIAUTEMPAN";2013,4;25,3121437123886
"22";"TLAXCALA";"CHIAUTEMPAN";2014,3;21,2177875973591
"23";"TLAXCALA";"CHIAUTEMPAN";2014,4;20,6029304452744
"24";"TLAXCALA";"CHIAUTEMPAN";2015,1;25,9715259421951
"25";"TLAXCALA";"CHIAUTEMPAN";2015,2;27,3208995275388
