"","anio","mes","canasta_m"
"1",2014,6,28.3006051519793
"2",2014,7,28.1278184732398
"3",2014,8,28.5190511986055
"4",2014,9,29.2014465078555
"5",2014,10,28.8666949457242
"6",2014,11,28.6209579640088
"7",2014,12,29.3442946383139
"8",2015,1,29.2679046074756
"9",2015,2,29.3409091390396
"10",2015,3,29.2129094487243
"11",2015,4,29.1811856553093
"12",2015,5,29.1945402655825
"13",2015,6,29.0806361580662
"14",2015,7,29.1694127939232
"15",2015,8,29.2214987400199
"16",2015,9,29.0051186532196
"17",2015,10,29.8116351541785
"18",2015,11,29.794851788811
"19",2015,12,30.0829228864507
"20",2016,1,30.7852094763112
"21",2016,2,30.554704779866
"22",2016,3,30.468544902767
"23",2016,4,30.5751741336085
