"","estado","canasta_m"
"1","BAJA CALIFORNIA SUR",29.3622356078053
"2","TAMAULIPAS",29.1419993938721
"3","NAYARIT",29.1311139126386
"4","SAN LUIS POTOSÍ",29.0620128416182
"5","BAJA CALIFORNIA",28.9005262988505
"6","GUERRERO",28.8945045120354
"7","CHIHUAHUA",28.426208667983
"8","MORELOS",28.4141225923517
"9","CAMPECHE",28.3938329953453
"10","HIDALGO",28.0590701603896
"11","COAHUILA DE ZARAGOZA",28.0205771091912
"12","QUINTANA ROO",27.9700572358607
"13","DURANGO",27.8691551258439
"14","SONORA",27.7751595582195
"15","CHIAPAS",27.6692607681004
"16","AGUASCALIENTES",27.6433061691386
"17","VERACRUZ DE IGNACIO DE LA LLAVE",27.4936060875654
"18","DISTRITO FEDERAL",26.9327197374147
"19","YUCATÁN",26.78628467287
"20","MÉXICO",26.7441833640443
"21","PUEBLA",26.7330192719848
"22","QUERÉTARO",26.7188616668296
"23","COLIMA",26.6597006227452
"24","GUANAJUATO",26.5839303913992
"25","NUEVO LEÓN",26.5325113535082
"26","TABASCO",26.5026661739815
"27","ZACATECAS",26.4022001472157
"28","OAXACA",26.2443431695067
"29","JALISCO",26.2268956540777
"30","MICHOACÁN DE OCAMPO",26.1397558853195
"31","SINALOA",25.9055265061219
"32","TLAXCALA",25.7480669565367
